Test [CP:1]
Care [CP:2]
Test [CP:1]	Cytogenetic [CP:3]
Test [CP:1]	Molecular [CP:10]
Test [CP:1]	Metabolic [CP:16]
Test [CP:1]	Biochemistry - General [CP:66]
Test [CP:1]	Enzymes [CP:80]
Test [CP:1]	Proteins [CP:84]
Test [CP:1]	Lipids [CP:89]
Test [CP:1]	Hematology [CP:94]
Test [CP:1]	Special Chemistry [CP:111]
Test [CP:1]	Pathology [CP:125]
Test [CP:1]	Imaging [CP:129]
Test [CP:1]	Electrical activity [CP:161]
Care [CP:2]	Ongoing follow up with genetics [CP:168]
Care [CP:2]	Sub-specialist care [CP:173]
Care [CP:2]	Allied health care [CP:204]
Care [CP:2]	Ongoing surveillance or monitoring via imaging [CP:212]
Care [CP:2]	Ongoing electrical surveillance or monitoring [CP:244]
Care [CP:2]	Therapeutic option [CP:251]
Test [CP:1]	Cytogenetic [CP:3]	karyotype [CP:4]
Test [CP:1]	Cytogenetic [CP:3]	microarray [CP:5]
Test [CP:1]	Cytogenetic [CP:3]	FISH [CP:6]
Test [CP:1]	Cytogenetic [CP:3]	custom FISH  (i.e. novel variant) [CP:7]
Test [CP:1]	Cytogenetic [CP:3]	chromosome breakage [CP:8]
Test [CP:1]	Cytogenetic [CP:3]	mosaicism testing [CP:9]
Test [CP:1]	Molecular [CP:10]	known mutation [CP:11]
Test [CP:1]	Molecular [CP:10]	single gene [CP:12]
Test [CP:1]	Molecular [CP:10]	gene panel  (specify panel and lab:_____) [CP:13]
Test [CP:1]	Molecular [CP:10]	clinical exome sequencing singleton [CP:14]
Test [CP:1]	Molecular [CP:10]	epigenetic testing (i.e. methylation study) [CP:15]
Test [CP:1]	Metabolic [CP:16]	amino acids [CP:17]
Test [CP:1]	Metabolic [CP:16]	organic acids [CP:22]
Test [CP:1]	Metabolic [CP:16]	very long chain fatty acids [CP:25]
Test [CP:1]	Metabolic [CP:16]	congenital disorders of glycosylation [CP:27]
Test [CP:1]	Metabolic [CP:16]	acylcarnitines [CP:29]
Test [CP:1]	Metabolic [CP:16]	total free carnitine [CP:31]
Test [CP:1]	Metabolic [CP:16]	oligosaccharides [CP:34]
Test [CP:1]	Metabolic [CP:16]	mucopolysaccharidosis [CP:36]
Test [CP:1]	Metabolic [CP:16]	purines/pyrimidines [CP:38]
Test [CP:1]	Metabolic [CP:16]	functional testing - single enzymes [CP:40]
Test [CP:1]	Metabolic [CP:16]	functional testing - respiratory chain panel [CP:50]
Test [CP:1]	Metabolic [CP:16]	homocysteine [CP:60]
Test [CP:1]	Metabolic [CP:16]	creatine metabolites/creatine panel [CP:62]
Test [CP:1]	Biochemistry - General [CP:66]	blood gas [CP:67]
Test [CP:1]	Biochemistry - General [CP:66]	glucose [CP:68]
Test [CP:1]	Biochemistry - General [CP:66]	sodium [CP:69]
Test [CP:1]	Biochemistry - General [CP:66]	potassium [CP:70]
Test [CP:1]	Biochemistry - General [CP:66]	chloride [CP:71]
Test [CP:1]	Biochemistry - General [CP:66]	total CO2 [CP:72]
Test [CP:1]	Biochemistry - General [CP:66]	ammonia [CP:73]
Test [CP:1]	Biochemistry - General [CP:66]	bilirubin conjugated [CP:74]
Test [CP:1]	Biochemistry - General [CP:66]	bilirubin unconjugated [CP:75]
Test [CP:1]	Biochemistry - General [CP:66]	calcium [CP:76]
Test [CP:1]	Biochemistry - General [CP:66]	creatine [CP:77]
Test [CP:1]	Biochemistry - General [CP:66]	magnesium [CP:78]
Test [CP:1]	Biochemistry - General [CP:66]	phosphate [CP:79]
Test [CP:1]	Enzymes [CP:80]	Alkaline Phosphatase [CP:81]
Test [CP:1]	Enzymes [CP:80]	ALT [CP:82]
Test [CP:1]	Enzymes [CP:80]	CPK [CP:83]
Test [CP:1]	Proteins [CP:84]	albumin [CP:85]
Test [CP:1]	Proteins [CP:84]	IgG [CP:86]
Test [CP:1]	Proteins [CP:84]	IgA [CP:87]
Test [CP:1]	Proteins [CP:84]	IgM [CP:88]
Test [CP:1]	Lipids [CP:89]	cholesterol total [CP:90]
Test [CP:1]	Lipids [CP:89]	HDL cholesterol [CP:91]
Test [CP:1]	Lipids [CP:89]	LDL cholesterol [CP:92]
Test [CP:1]	Lipids [CP:89]	triglyceride [CP:93]
Test [CP:1]	Hematology [CP:94]	CBC [CP:95]
Test [CP:1]	Hematology [CP:94]	Differential [CP:96]
Test [CP:1]	Hematology [CP:94]	Retic Count [CP:97]
Test [CP:1]	Hematology [CP:94]	Sickle test [CP:98]
Test [CP:1]	Hematology [CP:94]	Hemaglobin analysis [CP:99]
Test [CP:1]	Hematology [CP:94]	PTT [CP:100]
Test [CP:1]	Hematology [CP:94]	Fibrinogen [CP:101]
Test [CP:1]	Hematology [CP:94]	Factor V [CP:102]
Test [CP:1]	Hematology [CP:94]	Factor VIII [CP:103]
Test [CP:1]	Hematology [CP:94]	Factor IX [CP:104]
Test [CP:1]	Hematology [CP:94]	Antithrombin [CP:105]
Test [CP:1]	Hematology [CP:94]	thrombin time [CP:106]
Test [CP:1]	Hematology [CP:94]	Protein C [CP:107]
Test [CP:1]	Hematology [CP:94]	Protein S [CP:108]
Test [CP:1]	Hematology [CP:94]	VWF Antigen [CP:109]
Test [CP:1]	Hematology [CP:94]	VWF Activity [CP:110]
Test [CP:1]	Special Chemistry [CP:111]	Alpha Fetoprotein [CP:112]
Test [CP:1]	Special Chemistry [CP:111]	Ferritin [CP:113]
Test [CP:1]	Special Chemistry [CP:111]	Iron [CP:114]
Test [CP:1]	Special Chemistry [CP:111]	Transferrin [CP:115]
Test [CP:1]	Special Chemistry [CP:111]	FSH [CP:116]
Test [CP:1]	Special Chemistry [CP:111]	PTH [CP:117]
Test [CP:1]	Special Chemistry [CP:111]	Thyroxine (Free T4) [CP:118]
Test [CP:1]	Special Chemistry [CP:111]	Triiodothronine (T3) [CP:119]
