Test [CP:01]
Care [CP:02]
Family Care [CP:03]
Test [CP:01]	Genetic [CP:11]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]
Care [CP:02]	Ongoing follow up with genetics [CP:21]
Care [CP:02]	Sub-specialist care [CP:22]
Care [CP:02]	Allied health care [CP:23]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]
Care [CP:02]	Therapeutic option [CP:26]
Care [CP:02]	Inpatient visit [CP:27]
Care [CP:02]	Emergency department visit [CP:28]
Family Care [CP:03]	Genetic counselling for family members [CP:31]
Family Care [CP:03]	Cascade testing for family members [CP:32]
Family Care [CP:03]	Prenatal testing for subsequent pregnancy [CP:33]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]
Test [CP:01]	Genetic [CP:11]	Metabolic [CP:1114]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Biochemistry - General [CP:121]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Enzymes [CP:1215]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Proteins [CP:1219]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Lipids [CP:1224]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Hematology [CP:1229]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Special Chemistry [CP:1246]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Infectious disease [CP:1260]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Pathology [CP:1264]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Imaging [CP:1268]
Test [CP:01]	Diagnostic (non-DNA) [CP:12]	Electrical activity [CP:12102]
Care [CP:02]	Ongoing follow up with genetics [CP:21]	In < 6 months [CP:211]
Care [CP:02]	Ongoing follow up with genetics [CP:21]	In 6 months [CP:212]
Care [CP:02]	Ongoing follow up with genetics [CP:21]	In 1 yr [CP:213]
Care [CP:02]	Ongoing follow up with genetics [CP:21]	In 2 yrs [CP:214]
Care [CP:02]	Ongoing follow up with genetics [CP:21]	In >2 yrs [CP:215]
Care [CP:02]	Sub-specialist care [CP:22]	Allergy/Immunology [CP:221]
Care [CP:02]	Sub-specialist care [CP:22]	Cardiology [CP:222]
Care [CP:02]	Sub-specialist care [CP:22]	Chronic Pain [CP:223]
Care [CP:02]	Sub-specialist care [CP:22]	Dentistry [CP:224]
Care [CP:02]	Sub-specialist care [CP:22]	Dermatology [CP:225]
Care [CP:02]	Sub-specialist care [CP:22]	Developmental Peds [CP:226]
Care [CP:02]	Sub-specialist care [CP:22]	Endocrinology [CP:227]
Care [CP:02]	Sub-specialist care [CP:22]	ENT [CP:228]
Care [CP:02]	Sub-specialist care [CP:22]	Gastroenterology [CP:229]
Care [CP:02]	Sub-specialist care [CP:22]	General Surgery [CP:2210]
Care [CP:02]	Sub-specialist care [CP:22]	Gynecology [CP:2211]
Care [CP:02]	Sub-specialist care [CP:22]	Hematology [CP:2212]
Care [CP:02]	Sub-specialist care [CP:22]	Metabolic [CP:2213]
Care [CP:02]	Sub-specialist care [CP:22]	Nephrology [CP:2214]
Care [CP:02]	Sub-specialist care [CP:22]	Neurology [CP:2215]
Care [CP:02]	Sub-specialist care [CP:22]	Neurosurgery [CP:2216]
Care [CP:02]	Sub-specialist care [CP:22]	Oncology [CP:2217]
Care [CP:02]	Sub-specialist care [CP:22]	Ophthalmology [CP:2218]
Care [CP:02]	Sub-specialist care [CP:22]	Orthopedics [CP:2219]
Care [CP:02]	Sub-specialist care [CP:22]	Palliative care [CP:2220]
Care [CP:02]	Sub-specialist care [CP:22]	Pharmacology [CP:2221]
Care [CP:02]	Sub-specialist care [CP:22]	Phys Medicine & Rehab [CP:2222]
Care [CP:02]	Sub-specialist care [CP:22]	Plastics [CP:2223]
Care [CP:02]	Sub-specialist care [CP:22]	Psychiatry [CP:2224]
Care [CP:02]	Sub-specialist care [CP:22]	Respirology [CP:2225]
Care [CP:02]	Sub-specialist care [CP:22]	Rheumatology [CP:2226]
Care [CP:02]	Sub-specialist care [CP:22]	Sports Medicine [CP:2227]
Care [CP:02]	Sub-specialist care [CP:22]	Thoracic Surgery [CP:2228]
Care [CP:02]	Sub-specialist care [CP:22]	Urology [CP:2229]
Care [CP:02]	Sub-specialist care [CP:22]	Vascular Surgery [CP:2230]
Care [CP:02]	Allied health care [CP:23]	Audiology [CP:231]
Care [CP:02]	Allied health care [CP:23]	Dietetics/Nutrition [CP:232]
Care [CP:02]	Allied health care [CP:23]	Home Care [CP:233]
Care [CP:02]	Allied health care [CP:23]	Occupational Therapy [CP:234]
Care [CP:02]	Allied health care [CP:23]	Physiotherapy [CP:235]
Care [CP:02]	Allied health care [CP:23]	Speech Language [CP:236]
Care [CP:02]	Allied health care [CP:23]	Psychology [CP:237]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	Skeletal survey [CP:241]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	Bone age [CP:242]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	Bone density [CP:243]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR spectroscopy [CP:2410]
