Test [CP:01]
Test [CP:01]	Genetic [CP:11]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	karyotype [CP:112]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	microarray [CP:113]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	FISH (please specify) [CP:114]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	custom FISH (please specify) [CP:115]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	chromosome breakage [CP:116]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]	mosaicism testing [CP:117]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Alpha Thal Mental Retardation [CP:119]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	AR Hereditary Spastic Paraplegia panel [CP:1110]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Ataxia Telangiectasia [CP:1111]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Atypical Hemolytic Uremic Syndrome / Membranoproliferative Glomerulonephritis [CP:1112]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Autism + other [CP:1113]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Beckwith-Weidenam Syndrome [CP:1114]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Breast Cancer [CP:1115]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Breast Ovarian Cancer [CP:1116]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Cardiomyopathy [CP:1117]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Charcot Marie Tooth [CP:1118]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Charge Syndrome (CHD7) [CP:1119]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Colon Cancer [CP:1120]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Congenital Muscular Dystrophy [CP:1121]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Craniosynostosis [CP:1122]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Deafness (Hereditary non-syndromic) [CP:1123]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Deafness (Neurosensory) [CP:1124]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Duchenne Muscular Dystrophy [CP:1125]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Endocrine Disorders [CP:1126]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Epilepsy [CP:1127]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Fabry Disease [CP:1128]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Fanconi Anemia and DNA Repair Disorders [CP:1129]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Focal Segmental Glomerulosclerosis [CP:1130]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Friedreich ataxia [CP:1131]
Test [CP:01]	Genetic [CP:11]	Molecular [CP:118]	Fumarate Hydratase deficiency [CP:1132]
